pad_WELL_PAD_ID,pad_WELL_PAD,CLIENT,COUNTY,n_waste_records,total_tons,total_bbls,first_period,last_period,included
144916,PATTERSON CREEK,EQT PROD CO,Greene,4,,,Jan-Jun 2016 (WASTE ONLY: Unconventional Wells),Jan-Jun 2016 (WASTE ONLY: Unconventional Wells),True
149227,DIAMONDVILLE,EQT PROD CO,Indiana,4,,,Feb 2019 (WASTE: Unconventional wells),Feb 2019 (WASTE: Unconventional wells),True
155179,KUHN,EQT PROD CO,Washington,4,,,Mar 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
154362,MAC,RICE DRILLING B LLC,Greene,4,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
152573,PISTON HONDA,RICE DRILLING B LLC,Greene,4,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
154227,DRAGON CHAN,RICE DRILLING B LLC,Greene,4,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
149565,WHIPKEY,RICE DRILLING B LLC,Greene,4,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
154434,MARLIN FUNKA WAS,SWN PROD CO LLC,Washington,3,,,Sep 2023 (WASTE: Unconventional wells),Sep 2023 (WASTE: Unconventional wells),True
149768,PORTER STREET 3,RICE DRILLING B LLC,Greene,3,10.14,,Feb 2019 (WASTE: Unconventional wells),Feb 2019 (WASTE: Unconventional wells),True
145053,JAMES BIRD WAS,CHESAPEAKE APPALACHIA LLC,Washington,3,,,Jun 2023 (WASTE: Unconventional wells),Jun 2023 (WASTE: Unconventional wells),True
152322,GLASS JOE WELL SITE,RICE DRILLING B LLC,Greene,3,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
148493,HAWKINS,EQT PROD CO,Greene,3,,,Feb 2019 (WASTE: Unconventional wells),Feb 2019 (WASTE: Unconventional wells),True
145413,ROGER PARRY,CHESAPEAKE APPALACHIA LLC,Greene,2,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
147050,ANDERSON UNIT 1,BELDEN & BLAKE CORP,Washington,2,,,Dec 2017 (WASTE: Unconventional wells),Nov 2017 (WASTE: Unconventional wells),True
144951,ROBERT SHORTS WAS,CHESAPEAKE APPALACHIA LLC,Washington,2,,,Nov 2023 (WASTE: Unconventional wells),Nov 2023 (WASTE: Unconventional wells),True
